lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
26,0,161.0,10,17,4,1,2,0,0,1
98,2,121.5,7,16,4,1,1,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
195,0,72.25,8,8,3,5,2,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
74,1,112.5,4,6,4,3,0,0,0,0
273,0,95.0,5,13,3,2,1,0,0,0
6,0,66.3,12,15,4,3,1,3,0,1
89,1,83.66,3,21,4,5,2,0,0,1
56,1,180.0,3,20,4,0,2,0,5,0
103,1,114.3,7,12,4,5,1,0,0,1
155,0,117.42,8,30,4,11,4,0,0,0
3,0,128.8,6,11,4,1,0,0,4,1
180,0,120.0,10,10,3,2,1,0,0,0
92,2,89.85,7,12,4,4,0,0,0,1
56,0,82.0,9,17,3,2,0,1,0,1
279,0,110.0,10,12,4,3,0,0,0,0
134,1,114.3,8,10,4,2,0,0,0,1
8,1,139.0,3,25,4,2,0,3,0,1
10,2,172.0,4,29,4,2,2,0,3,1
2,1,148.0,8,21,4,0,2,0,0,1
52,1,79.5,2,26,4,2,1,3,0,0
116,0,61.0,2,28,3,1,2,0,0,0
89,0,186.3,7,21,4,2,0,0,5,0
193,0,120.0,6,20,4,2,1,0,0,0
92,0,90.0,11,11,3,1,0,0,0,1
95,1,130.5,7,1,4,3,2,0,0,1
6,1,109.0,2,4,4,3,1,0,0,0
60,1,106.2,4,1,4,2,1,0,3,1
359,1,105.0,9,16,4,2,2,0,0,0
67,2,88.4,11,23,4,4,0,0,0,0
177,0,123.75,8,3,4,4,1,0,0,0
101,0,54.06,4,12,4,5,1,3,0,1
15,0,80.0,2,19,2,1,0,0,0,1
30,0,94.2,8,31,4,1,0,0,0,1
89,0,128.85,5,8,4,2,2,0,0,1
21,0,133.5,9,29,4,4,0,0,0,0
6,0,70.0,8,5,3,4,2,0,0,1
135,2,119.85,6,16,4,3,1,0,0,1
1,0,0.0,3,2,4,1,0,0,0,1
37,2,145.8,9,21,4,3,1,0,0,1
45,1,75.0,11,7,3,5,2,0,0,1
168,2,72.25,8,12,3,3,2,0,0,1
143,0,100.3,6,2,4,3,2,0,0,0
25,0,75.2,11,29,4,1,0,0,0,1
102,0,101.5,10,16,4,2,0,1,0,0
4,2,81.6,12,5,3,2,2,0,0,1
108,2,108.0,10,17,4,3,1,3,0,1
8,1,65.0,7,28,2,1,0,0,0,1
56,0,185.0,9,25,3,2,2,0,0,1
12,0,220.0,8,19,4,1,0,0,5,0
0,0,80.0,8,23,4,0,1,0,0,1
37,1,75.0,10,30,3,1,2,0,0,1
0,0,158.0,5,9,4,1,1,0,3,1
39,0,87.0,8,14,3,2,0,1,0,1
36,0,103.95,4,8,4,1,0,0,5,1
63,2,131.75,7,26,3,5,0,0,4,1
87,1,112.01,5,29,4,2,2,0,1,1
58,1,79.2,11,13,4,2,1,0,0,1
301,0,52.0,11,18,3,2,0,0,0,0
346,1,115.0,9,13,4,2,0,1,0,0
361,0,91.0,11,4,4,1,0,0,0,0
3,0,65.0,6,6,2,0,1,0,0,1
49,0,71.0,12,30,3,4,0,0,0,1
